dashboard_id,dataset_name,dataset_id
17eb97f1-1a05-48f7-8867-9b6e12849564,googleads_advertising_masked,3ece2c3c-4baa-4e53-acfe-d418406def73
93851471-b5db-4c84-9408-397c89917d44,dev_ekos - pnl_amazon_cumul_masked,270ac7fb-fbcf-4ce1-9f31-05e5fbd6ba44
e73cafca-7297-45db-9602-bd9db55a9f35,finance overview masked,eae1c693-2c82-486b-a3ea-7a1f662ea5a7
c6de76e2-f6fe-4e42-9c78-b3f1026bd063,inventory amazon masked,a0563379-0b8e-404e-9393-b34283c1c9e7
c6de76e2-f6fe-4e42-9c78-b3f1026bd063,amazon distinct asins,80a0f62a-dbe3-487f-a423-6a63a7737283
f5e5c862-4214-4189-a88e-98fc42994481,dev_ekos - executive_dashboard_cumul_masked,a4315921-b423-489f-8ab6-d4793e010e32
7ab570b2-1194-4fc3-a09f-ff6c7c190f17,executive dashboard pbi masked,2ac55628-b423-4a6c-897a-efc80824f56a
f020bf2c-9b9b-4f45-bcf9-edf75176b034,executive trends pbi masked,ad711db4-e2bb-4942-8227-62d649eafba7
318b4946-9080-450f-983d-762a2f8d345f,dev_ekos - product_pbi_masked,ce018fdd-8d38-4792-8bd2-cdf29a6fb315
318b4946-9080-450f-983d-762a2f8d345f,dev_ekos - product_affinity_cumul_masked,d8bc2acd-2ea0-407c-acc6-54bd578244b7
7be3c509-85ba-4d2b-9b84-04f980f442e6,customer_glance_customer_metrics_pbi_masked,cfb8831b-5f03-491b-b669-13296589cf22
7be3c509-85ba-4d2b-9b84-04f980f442e6,customer_rfm_segments_cumul_masked,9374036a-a7d2-4c29-80da-03e3de0debc8
7be3c509-85ba-4d2b-9b84-04f980f442e6,customer_glance_cltv_cumul_masked,8db11973-380f-4dd2-a298-1bf9450008d4
7be3c509-85ba-4d2b-9b84-04f980f442e6,customer-glance-pbi masked,031848e6-ed55-49c0-b497-d2febf5828d3
7be3c509-85ba-4d2b-9b84-04f980f442e6,customer_cohortwise_pivot_cumul_masked,47bc250a-f021-4c0f-9d68-ef39890f845d
7be3c509-85ba-4d2b-9b84-04f980f442e6,cohorts_demo_new,92c6d18d-7442-4e5d-b188-59c49c314e32
159a623f-be52-40c0-b630-e14ac84979ae,dev_ekos_excel - amazon_account_overview_feedback_masked,77c75100-1520-4c6b-bc1e-654cc040de1a
159a623f-be52-40c0-b630-e14ac84979ae,dev_ekos_excel - amazon_account_overview_listings_masked,e9794921-1706-40eb-9d5d-ce677d4b7a9b
159a623f-be52-40c0-b630-e14ac84979ae,dev_ekos_excel - amazon_account_overview_customer_rfm_cumul_masked,be70c739-770a-465c-b046-14716f7b4e70
159a623f-be52-40c0-b630-e14ac84979ae,dev_ekos_excel - amazon_account_overview_sales_masked,0788ac99-baa0-4eae-a8d9-f01fe8ae3b79
159a623f-be52-40c0-b630-e14ac84979ae,dev_ekos_excel - amazon_account_overview_customer_section_cumul_masked,0929c274-c6fa-4690-a1c6-9a39053818c7
159a623f-be52-40c0-b630-e14ac84979ae,dev_ekos_excel - amazon_account_overview_listings_cumul_masked,42250832-2918-4c01-88db-0c04f660234e
159a623f-be52-40c0-b630-e14ac84979ae,dev_ekos_excel - amazon_account_overview_product_cumul_masked,3a24929d-5813-4c15-89a1-1bf661bd465f
159a623f-be52-40c0-b630-e14ac84979ae,dev_ekos_excel - amazon_account_overview_sales_marketing_profit_masked,2134deeb-5ddd-4538-b051-4b8ab31bb3a4
dbab9061-3de5-4930-9a2d-ef39b2824643,dev_ekos_excel - amazon_account_overview_customer_section_cumul_masked,b7975e29-2e9b-4582-b08e-6c9a3af4a415
dbab9061-3de5-4930-9a2d-ef39b2824643,dev_ekos_presentation - amazon_account_overview_listings_cumul,d09b93e2-b1d8-4c8a-bd3d-cf6e091a2727
dbab9061-3de5-4930-9a2d-ef39b2824643,dev_ekos_presentation - amazon_account_overview_product_cumul,9ce292e7-b3d2-4d77-a276-3200e3256f15
dbab9061-3de5-4930-9a2d-ef39b2824643,dev_ekos_excel - shopify_account_overview_sales_masked,fe8daf0c-d8a3-4ba9-8521-eea3ddd56d97
dbab9061-3de5-4930-9a2d-ef39b2824643,dev_ekos_excel - amazon_account_overview_listings_masked,e9794921-1706-40eb-9d5d-ce677d4b7a9b
dbab9061-3de5-4930-9a2d-ef39b2824643,dev_ekos_excel - amazon_account_overview_customer_rfm_cumul_masked,be70c739-770a-465c-b046-14716f7b4e70
dbab9061-3de5-4930-9a2d-ef39b2824643,dev_ekos_excel - amazon_account_overview_feedback_masked,77c75100-1520-4c6b-bc1e-654cc040de1a
dbab9061-3de5-4930-9a2d-ef39b2824643,dev_ekos_excel - shopify_account_overview_sales_marketing_profit_masked,09d51aad-9892-4e30-a969-84b6e98485b2
332bd7ea-cc37-4a66-a4f2-c9f2e225c609,dev_edm_prsn - emailmarketing_pbi_anon,686d7a8f-0027-4d58-a13d-ec8ca7427ec6
321590c9-229c-4f17-9b19-d625323a7eac,bingads_targeting_masked,bc2f4b9c-a406-45ec-942a-caaff77b8805
321590c9-229c-4f17-9b19-d625323a7eac,bingads_campaignwise_pivot_cumul_masked,d3633ade-af5e-4a5b-b7eb-cb3db8ae9584
321590c9-229c-4f17-9b19-d625323a7eac,bingads_advertising_masked,85509ae8-6668-44e9-8a17-af4c576ee225
217a21ec-5a46-492c-ae9f-c30ae8b4ba5d,listingsmasked,a87d396c-8797-44b0-963b-6685278c2f75
