"dashboard_id","dashboard_name","dashboard_type","dashboard_group_rank","mandatory","optional"
"7610db64-d565-4229-a2ad-75b7c9ffa030",Date Browser Daily,ADVANCED_MARKETING_ANALYTICS_DATEBROWSER_DAILY,7,"[""AMAZONSELLER"", ""SHOPIFYV2""]","[""AMAZONSBADS"", ""AMAZONSDADS"", ""AMAZONSPADS"", ""GOOGLEADS"", ""FACEBOOK"", ""BINGADS"", ""GA4"", ""KLAVIYO3"", ""PINTEREST_V2"", ""GSS""]"
c5e00205-8649-48f5-9615-40852b39efcc,Returns,OPERATIONS_RETURNS,3,"[""AMAZONSELLER"", ""SHOPIFYV2""]","[""AMAZONSBADS"", ""AMAZONSDADS"", ""AMAZONSPADS"", ""GOOGLEADS"", ""FACEBOOK"", ""BINGADS"", ""GA4"", ""KLAVIYO3"", ""PINTEREST_V2"", ""GSS""]"
"93851471-b5db-4c84-9408-397c89917d44",PnL Amazon,FINANCE_PNL_AMAZON,2,"[""AMAZONSELLER"", ""SHOPIFYV2""]","[""AMAZONSBADS"", ""AMAZONSDADS"", ""AMAZONSPADS"", ""GOOGLEADS"", ""FACEBOOK"", ""BINGADS"", ""GA4"", ""KLAVIYO3"", ""PINTEREST_V2"", ""GSS""]"
e73cafca-7297-45db-9602-bd9db55a9f35,Overview,FINANCE_OVERVIEW,1,"[""AMAZONSELLER"", ""SHOPIFYV2""]","[""AMAZONSBADS"", ""AMAZONSDADS"", ""AMAZONSPADS"", ""GOOGLEADS"", ""FACEBOOK"", ""BINGADS"", ""GA4"", ""KLAVIYO3"", ""PINTEREST_V2"", ""GSS""]"
c6de76e2-f6fe-4e42-9c78-b3f1026bd063,Inventory Amazon,OPERATIONS_AMAZON_INVENTORY,1,"[""AMAZONSELLER"", ""SHOPIFYV2""]","[""AMAZONSBADS"", ""AMAZONSDADS"", ""AMAZONSPADS"", ""GOOGLEADS"", ""FACEBOOK"", ""BINGADS"", ""GA4"", ""KLAVIYO3"", ""PINTEREST_V2"", ""GSS""]"
"332bd7ea-cc37-4a66-a4f2-c9f2e225c609",Email Marketing,MARKETING_EMAIL,5,"[""AMAZONSELLER"", ""SHOPIFYV2""]","[""AMAZONSBADS"", ""AMAZONSDADS"", ""AMAZONSPADS"", ""GOOGLEADS"", ""FACEBOOK"", ""BINGADS"", ""GA4"", ""KLAVIYO3"", ""PINTEREST_V2"", ""GSS""]"
"321590c9-229c-4f17-9b19-d625323a7eac",Bing Ads,MARKETING_BING_ADS,6,"[""AMAZONSELLER"", ""SHOPIFYV2""]","[""AMAZONSBADS"", ""AMAZONSDADS"", ""AMAZONSPADS"", ""GOOGLEADS"", ""FACEBOOK"", ""BINGADS"", ""GA4"", ""KLAVIYO3"", ""PINTEREST_V2"", ""GSS""]"
"6d2fe752-57ee-4aa5-9165-bb9aed077885",Lost Spend,ADVANCED_MARKETING_ANALYTICS_LOST_SPEND_,2,"[""AMAZONSELLER"", ""SHOPIFYV2""]","[""AMAZONSBADS"", ""AMAZONSDADS"", ""AMAZONSPADS"", ""GOOGLEADS"", ""FACEBOOK"", ""BINGADS"", ""GA4"", ""KLAVIYO3"", ""PINTEREST_V2"", ""GSS""]"
dbab9061-3de5-4930-9a2d-ef39b2824643,Account Overview Shopify,SALES_ACCOUNT_OVERVIEW_SHOPIFY,5,"[""AMAZONSELLER"", ""SHOPIFYV2""]","[""AMAZONSBADS"", ""AMAZONSDADS"", ""AMAZONSPADS"", ""GOOGLEADS"", ""FACEBOOK"", ""BINGADS"", ""GA4"", ""KLAVIYO3"", ""PINTEREST_V2"", ""GSS""]"
"7be3c509-85ba-4d2b-9b84-04f980f442e6",Overview,CUSTOMER_OVERVIEW,1,"[""AMAZONSELLER"", ""SHOPIFYV2""]","[""AMAZONSBADS"", ""AMAZONSDADS"", ""AMAZONSPADS"", ""GOOGLEADS"", ""FACEBOOK"", ""BINGADS"", ""GA4"", ""KLAVIYO3"", ""PINTEREST_V2"", ""GSS""]"
